Date,AAPL_QUANTITY_FAILS,close,open,low,high,volume
2020-08-03,35063,112.7816,112.5,111.7535,115.2236,315157331
2020-08-04,29602,113.64,111.2266,111.2266,116.15,176213906
2020-08-05,7795,114.6521,111.8826,109.7055,114.6521,126468357
2020-08-07,7792,113.858,114.644,113.1483,118.55,207220653
2020-08-10,65455,113.6537,115.5,113.0,116.691,222741523
2020-08-12,17858,115.19,111.9224,111.9224,117.836,168204858
2020-08-13,50,120.01,117.82,115.7288,120.01,212362487
2020-08-14,10306,119.028,120.4644,113.476,120.4644,171605491
2020-08-17,589,115.2539,119.7325,114.1379,119.7325,121707508
2020-08-19,1466,116.7057,117.9027,116.7057,118.8248,145841360
2020-08-20,8238,118.571,117.61,117.3586,121.362,128761380
2020-08-25,23,125.194,125.4043,125.194,128.7341,212892787
2020-08-26,25531,127.4949,131.7036,127.4949,131.8012,166258202
2020-08-28,8747,130.5056,130.2731,129.8806,131.7115,193839978
2020-08-31,3494,134.21,131.24,130.0,134.21,225855688
2020-09-01,279593,137.14,133.4,133.4,137.9,157217506
2020-09-02,592906,136.3,139.8,133.0,143.65,201150856
2020-09-03,12927,122.25,131.09,122.0,133.36,270162593
2020-09-04,3086,123.59,125.48,112.39,129.7,338316156
2020-09-08,78,115.72,115.2,115.11,120.87,237520364
2020-09-09,11827,119.06,119.2,116.39,119.24,180992609
2020-09-11,24794,115.0,118.65,113.0,118.65,184169479
2020-09-14,2244,117.582,115.88,113.3,117.582,141246725
2020-09-15,432,120.69,123.56,114.35,123.946,192941415
2020-09-17,2537,110.46,114.47,110.46,114.47,184421046
2020-09-18,8464,107.01,115.1,107.01,115.1,295206414
2020-09-21,1025,113.08,105.18,103.3,113.08,203471078
2020-09-22,42134,113.42,118.21,109.27,118.21,191136709
2020-09-23,22397,107.6,115.82,107.6,115.82,157536811
2020-09-24,26,109.73,109.59,109.0,112.89,168384175
2020-09-28,544556,116.47,118.74,113.15,119.81,142514839
2020-09-29,26700,116.32,118.41,114.46,120.36,102518504
2020-10-02,4916,113.39,116.64,113.39,116.64,149424314
2020-10-06,7752,116.18,121.2,113.53,121.2,163837319
2020-10-08,108579,116.07,116.83,116.07,119.5878,87043371
2020-10-09,6552,119.51,116.17,116.17,121.0,102559923
2020-10-14,14900,121.6,127.0,121.6,127.0,155058904
2020-10-19,2500,120.13,125.43,115.99,125.43,125024465
2020-10-20,99020,122.73,120.9,119.76,122.73,126270072
2020-10-21,62233,122.16,120.9,120.9,122.218,91872884
2020-10-22,1878,117.02,121.28,115.51,122.76,102687934
2020-10-23,164804,119.9,118.42,115.28,121.83,83535536
2020-10-27,5330,120.4,118.77,116.5018,122.18,95941354
2020-10-28,312,114.7,116.15,112.8,117.54,144339256
2020-10-29,288,117.04,114.49,114.49,119.42,152108101
2020-10-30,69960,109.76,113.69,109.67,113.69,192624739
2020-11-03,83,115.12,114.08,109.15,116.93,112797296
2020-11-04,25781,117.13,115.5,113.93,119.71,142664520
2020-11-09,38051,119.74,121.4,116.85,127.29,160578228
2020-11-10,58828,117.13,119.16,117.13,119.16,143351585
2020-11-12,17442,122.15,122.22,122.15,124.34,105523596
2020-11-13,111469,119.45,122.77,119.45,122.77,82528409
2020-11-16,10432,122.7,124.32,120.11,124.32,93955167
