Date,AMC_QUANTITY_FAILS,close,open,low,high,volume
2020-08-03,103548,4.11,4.09,3.89,4.337,4153209
2020-08-04,37112,4.1,4.12,4.1,4.36,3296878
2020-08-05,152337,4.34,4.12,4.12,4.35,1782902
2020-08-06,9240,4.2,4.16,4.16,4.41,3870229
2020-08-07,61285,4.78,4.2,4.15,5.32,25914019
2020-08-10,250694,4.61,4.72,4.52,4.89,5079897
2020-08-11,17521,4.77,4.7,4.58,5.02,5935698
2020-08-12,8257,4.87,4.74,4.74,4.93,2493014
2020-08-13,49463,5.5,5.2,4.84,5.99,23562742
2020-08-14,264745,5.7,5.84,5.16,5.84,12177617
2020-08-17,8884,5.7,5.78,5.474,6.03,7294307
2020-08-18,258720,5.49,5.84,5.29,5.84,5994266
2020-08-19,348437,5.5,5.4,5.26,5.72,5899862
2020-08-20,263034,5.79,5.63,5.4,5.81,13737827
2020-08-21,169569,5.35,5.72,5.34,5.8278,8430680
2020-08-24,21731,5.57,5.61,5.1252,5.61,8852748
2020-08-25,896141,5.8,5.56,5.31,5.81,5357473
2020-08-26,819128,5.6,5.54,5.54,5.92,4547919
2020-08-27,391389,6.63,5.87,5.8,7.4,32779215
2020-08-28,409752,6.4,6.69,6.19,6.69,10249794
2020-08-31,114423,6.12,6.64,5.85,6.64,10218239
2020-09-01,20319,6.09,6.05,6.02,6.35,9929009
2020-09-02,109748,7.15,7.07,6.62,7.94,45116871
2020-09-03,32714,6.7,7.18,6.4877,7.44,10864482
2020-09-04,45246,7.16,7.05,6.26,7.16,9775607
2020-09-08,268148,6.57,6.84,6.43,7.1351,6674456
2020-09-09,85791,6.4,6.7,6.2773,6.7,5669036
2020-09-10,381592,6.23,6.56,6.02,6.56,6034866
2020-09-11,147927,6.04,6.15,5.7,6.2543,4943443
2020-09-14,332391,5.75,5.93,5.75,6.0557,4857148
2020-09-15,781062,5.57,5.8,5.57,6.06,5259336
2020-09-16,600764,5.9,5.6,5.6,5.914,4469714
2020-09-17,627101,5.8,5.82,5.69,6.04,2707022
2020-09-18,567411,5.76,5.83,5.65,5.83,2508809
2020-09-21,633013,5.53,5.64,5.25,5.64,4596626
2020-09-22,627950,5.22,5.32,5.2,5.51,2125235
2020-09-23,269215,4.92,5.29,4.88,5.33,4309566
2020-09-24,223942,4.83,4.78,4.3736,5.0,4633238
2020-09-25,523894,5.04,4.8,4.5898,5.11,2402648
2020-09-28,603444,5.07,5.24,4.67,5.24,4786652
2020-09-29,352690,5.06,5.1,4.84,5.1,2614982
2020-09-30,92301,4.79,5.0,4.79,5.0,2639178
2020-10-01,29900,4.73,4.93,4.73,4.93,3298201
2020-10-02,443515,4.76,4.63,4.49,4.76,3734372
2020-10-05,303187,4.32,4.4,4.08,4.57,9852109
2020-10-06,123395,4.18,4.3,4.15,4.36,8415380
2020-10-07,1626303,4.15,4.27,3.96,4.27,6939329
2020-10-08,2090123,4.33,4.29,4.18,4.33,8047912
2020-10-09,1277156,4.19,4.23,4.13,4.36,5206015
2020-10-13,1724893,3.55,4.0,3.55,4.02,10372126
2020-10-14,435199,2.99,3.1,2.76,3.2,32854185
2020-10-15,92603,2.87,2.84,2.83,2.97,10102413
2020-10-16,3687446,3.1,2.87,2.87,3.37,19373418
2020-10-19,2625116,3.6,3.42,3.35,4.03,41419422
2020-10-20,1853,3.13,3.3,3.06,3.44,16131075
2020-10-21,525180,3.0,3.1,3.0,3.1976,7369988
2020-10-22,43333,3.27,2.98,2.89,3.3,12448813
2020-10-23,1352696,2.99,3.15,2.99,3.24,6952276
2020-10-26,2752279,2.76,2.98,2.76,3.03,10753826
2020-10-27,937,2.89,3.01,2.63,3.01,11804542
2020-10-28,1812015,2.69,2.71,2.62,2.83,8163591
2020-10-29,160554,2.63,2.71,2.5,2.74,9332941
2020-10-30,1270,2.42,2.53,2.36,2.53,11430739
2020-11-02,1350694,2.21,2.4,2.19,2.4,11568663
2020-11-03,901,2.46,2.37,2.37,2.69,16109118
2020-11-04,100485,2.42,2.5,2.2842,2.5,7817089
2020-11-05,70488,2.51,2.42,2.33,2.69,8410216
2020-11-06,96876,2.6,2.44,2.34,2.68,9089339
2020-11-09,8566,3.93,4.34,3.34,4.42,138001663
2020-11-10,343241,3.58,4.1,3.37,4.17,43466981
2020-11-12,1019652,2.94,3.13,2.94,3.19,15103632
2020-11-13,4766687,3.0,3.11,2.84,3.11,23099885
2020-11-16,1625384,3.27,3.45,3.19,3.52,49737996
2020-11-17,2330787,3.09,3.16,3.0,3.16,22632438
2020-11-18,1450745,3.29,3.17,3.04,3.44,33172481
2020-11-19,3026920,3.27,3.21,3.2,3.401,14417168
2020-11-20,743719,3.39,3.25,3.25,3.4,17295503
2020-11-23,48457,3.93,3.59,3.47,3.93,32524453
2020-11-24,492516,4.74,4.27,4.22,5.0,63829498
2020-11-25,319502,4.71,4.79,4.4,5.05,23690713
2020-11-27,284548,4.56,4.65,4.43,4.74,10533689
2020-11-30,201507,4.34,4.43,4.04,4.59,17285081
2020-12-01,345244,4.28,4.65,4.26,4.65,12706270
2020-12-02,67606,4.53,4.18,4.0,4.53,11950976
2020-12-03,166717,3.77,4.08,3.5,4.386,67858760
2020-12-04,210098,3.6,3.93,3.4,3.93,33610069
2020-12-07,4698986,3.7,3.54,3.34,3.79,21005249
2020-12-08,3662517,4.05,3.65,3.65,4.06,30397454
2020-12-09,2707506,3.99,4.3,3.87,4.38,21114403
2020-12-10,467070,4.21,3.8,3.8,4.21,20314367
2020-12-11,1106222,4.04,4.13,3.91,4.4,22946441
2020-12-14,1899282,3.32,4.21,3.0,4.21,69671397
2020-12-15,1087046,2.9,3.33,2.81,3.37,55008065
2020-12-16,2032579,2.91,2.88,2.74,2.92,26371932
2020-12-17,2957930,2.97,2.9,2.79,3.02,24714207
2020-12-18,4333865,2.8,2.97,2.8,2.97,22237647
2020-12-21,3208259,2.81,2.7,2.64,2.81,22955928
2020-12-22,222569,2.62,2.77,2.62,2.85,22613897
2020-12-23,210768,2.65,2.61,2.61,2.74,16286958
2020-12-24,34950,2.62,2.6,2.6,2.7,11392908
2020-12-30,1321922,2.22,2.3,2.22,2.3,41037132
2020-12-31,80241,2.13,2.2,2.1,2.28,28665448
2021-01-04,111844,2.09,2.2,2.0,2.2,30352706
2021-01-05,1631091,2.03,2.05,1.95,2.05,29189047
2021-01-07,4241943,2.13,2.16,2.11,2.2,27035811
2021-01-08,11547981,2.17,2.15,2.14,2.25,40425965
2021-01-12,5900,2.32,2.28,2.261,2.41,43183643
2021-01-15,102589,2.41,2.2,2.2,2.66,163977767
2021-01-19,8842791,3.07,2.9,2.58,3.3,258021311
2021-01-20,13399807,3.06,3.37,2.79,3.37,183975794
2021-01-21,3167557,3.13,3.0,2.93,3.17,67538626
2021-01-22,200,3.58,3.01,2.85,3.76,278720612
2021-01-25,15521,4.49,4.88,3.93,4.95,448761231
2021-01-26,385273,5.04,5.32,4.55,5.32,478484408
2021-01-27,27693649,20.3,21.13,11.48,21.13,1290272652
2021-01-28,584097,8.87,12.5,6.75,16.7,604401106
2021-01-29,15902,13.47,14.47,11.9,17.0,625337538
2021-02-01,56769,13.9,17.0,13.43,17.93,437277984
2021-02-02,1914426,7.84,9.59,6.0,10.1,477746257
2021-02-03,1872148,9.18,9.23,7.94,9.89,231798540
2021-02-04,202204,7.14,9.1,7.0,9.1,170150132
2021-02-05,451078,6.86,7.3,6.83,8.55,204591981
2021-02-08,512677,6.43,7.19,5.98,7.19,130892757
2021-02-09,302591,5.7,5.92,5.28,5.92,105107306
2021-02-10,345652,6.0,5.76,5.5,6.62,160220094
2021-02-11,189887,5.65,5.65,5.65,5.87,56251294
2021-02-12,447556,5.66,5.91,5.66,6.16,46893947
2021-02-16,99707,5.87,6.23,5.51,6.23,63498420
2021-02-17,289519,5.68,5.68,5.33,5.77,39835658
2021-02-18,7178,5.55,5.94,5.53,6.48,132849476
2021-02-19,22773,5.8,5.65,5.55,6.05,40433424
2021-02-22,13900,6.79,5.96,5.96,6.86,178451349
2021-02-23,104070,7.9,7.14,6.12,8.18,265462422
2021-02-24,364072,9.48,7.36,7.29,9.87,392697974
2021-02-26,644732,8.29,8.51,7.7561,9.14,139834984
2021-03-01,1280013,9.25,8.9,8.79,9.894,147269132
2021-03-02,1276752,9.04,9.17,8.62,9.5,80754356
2021-03-03,969996,8.88,9.35,8.6,9.35,57137719
2021-03-04,2076714,8.31,8.54,7.5,8.96,80125917
2021-03-05,2853150,8.11,8.24,7.82,8.27,60163088
2021-03-08,2392366,9.56,8.78,8.54,9.56,116611550
2021-03-09,483175,10.6,9.39,9.39,11.22,157241197
2021-03-10,105933,10.27,11.51,9.89,12.48,267313356
2021-03-11,37404,10.71,10.79,9.9,11.36,85256268
2021-03-12,31276,11.38,10.62,10.27,11.5,116626185
2021-03-16,79759,13.35,13.9,12.91,13.9,128332680
2021-03-17,150618,13.57,13.27,13.0,14.34,79978817
2021-03-18,322406,15.0,14.57,13.71,15.0,123499021
2021-03-19,112204,14.5,14.8,13.45,14.86,160852204
