Date,BB_QUANTITY_FAILS,close,open,low,high,volume
2020-08-03,3398,4.89,4.88,4.7732,4.93,1936452
2020-08-04,2274,4.75,4.8,4.75,4.898,3251508
2020-08-05,18872,5.08,4.79,4.79,5.08,2369167
2020-08-06,4714,5.19,4.96,4.96,5.28,5663571
2020-08-07,15430,5.05,5.07,5.03,5.32,5463959
2020-08-10,19480,4.91,4.9,4.9,4.965,2467371
2020-08-13,4659,5.04,4.94,4.94,5.04,2603713
2020-08-14,200,4.9,4.88,4.88,4.9,2662332
2020-08-17,20274,5.05,4.93,4.79,5.05,1927268
2020-08-18,26417,4.83,4.84,4.83,4.899,2504200
2020-08-20,300,4.88,4.78,4.78,5.09,2200858
2020-08-21,5894,4.81,4.8,4.77,4.94,2107080
2020-08-24,1265,4.93,4.8,4.8,5.03,2559896
2020-08-26,98425,5.09,4.89,4.89,5.27,8072220
2020-08-27,125917,5.24,5.27,5.105,5.29,3643871
2020-08-28,319989,5.31,5.23,5.23,5.502,4103920
2020-08-31,31024,5.33,5.46,5.33,5.46,4453116
2020-09-02,2486,5.69,5.8,5.52,5.8507,5298995
2020-09-03,2050,5.35,5.6,5.23,5.69,5477746
2020-09-04,2111,5.27,5.1,4.965,5.441,6040082
2020-09-08,37701,5.03,5.04,5.03,5.28,3809167
2020-09-09,19664,5.05,5.12,4.93,5.14,3741343
2020-09-10,5572,5.0,5.14,4.82,5.14,3712283
2020-09-11,167048,4.9,4.97,4.76,5.04,3832597
2020-09-15,66547,4.88,4.94,4.88,5.12,2584448
2020-09-16,20318,4.83,4.95,4.83,5.08,3315614
2020-09-17,70103,4.84,4.8,4.6,4.84,3817200
2020-09-18,94494,5.06,4.83,4.71,5.06,4063311
2020-09-21,68335,5.0,4.86,4.86,5.0,3364117
2020-09-22,7120,5.14,4.94,4.94,5.14,3414699
2020-09-25,6087,4.8,4.82,4.8,4.881,5598171
2020-09-28,99010,4.68,4.93,4.68,4.97,7394986
2020-09-29,11148,4.76,4.75,4.62,4.875,5970683
2020-09-30,459552,4.69,4.77,4.6,4.87,3861826
2020-10-01,237037,4.62,4.8,4.62,4.8,4988385
2020-10-02,158309,4.59,4.68,4.54,4.68,6795342
2020-10-05,203,4.6,4.57,4.57,4.63,3242664
