Date,GME_QUANTITY_FAILS,close,open,low,high,volume
2020-08-03,19581,4.19,4.15,4.116,4.27,2551496
2020-08-04,20822,4.65,4.24,4.13,4.919,10720013
2020-08-05,9693,4.76,4.7,4.386,4.81,4949599
2020-08-06,70632,4.49,4.6,4.49,4.774,1940651
2020-08-10,415,4.5,4.3,4.25,4.7,4771653
2020-08-11,67801,4.53,4.64,4.45,4.78,3215431
2020-08-12,15477,4.75,4.6,4.56,4.75,3100182
2020-08-13,34659,4.73,4.59,4.5692,4.75,2208639
2020-08-14,9412,4.88,4.6,4.6,5.02,3480250
2020-08-17,3983,4.81,4.83,4.635,4.87,2411935
2020-08-18,1356,5.01,4.8,4.591,5.03,3844435
2020-08-19,1780,4.73,4.9,4.73,4.9,2655222
2020-08-20,58521,4.68,4.67,4.67,4.9,2508749
2020-08-21,3202,5.28,4.6,4.6,5.9,11146652
2020-08-24,70241,5.08,5.4,4.65,5.4,4601751
2020-08-25,347372,5.21,5.1,5.09,5.35,3093768
2020-08-26,72972,5.22,5.12,5.0115,5.37,2796043
2020-08-27,57178,5.42,5.13,5.03,5.6252,3478736
2020-08-28,8813,5.46,5.3,5.3,5.655,4293717
2020-08-31,31683,6.77,5.98,5.84,7.47,38875075
2020-09-01,310668,7.81,7.3,6.99,7.93,23415570
2020-09-02,917224,7.98,8.2,7.3,8.26,13031255
2020-09-03,783719,8.17,7.97,7.33,8.62,14874265
2020-09-04,1048386,7.84,8.11,7.5,8.19,8033509
2020-09-08,556234,8.1,7.59,7.59,8.4,10257819
2020-09-09,252787,7.37,8.25,7.37,8.25,9415793
2020-09-10,630799,6.28,6.84,6.28,7.21,15743273
2020-09-11,431853,6.23,6.38,5.91,6.59,6235970
2020-09-14,398676,6.99,7.0,6.73,7.0,10159387
2020-09-15,267777,7.32,7.01,6.945,7.38,5746335
2020-09-16,884485,9.04,7.03,7.03,9.26,20166640
2020-09-17,598737,9.6,8.88,8.76,10.11,17855691
2020-09-18,847632,9.66,9.5,9.07,10.14,18056423
2020-09-21,709333,9.18,9.78,8.6,9.78,7996740
2020-09-22,2655764,10.78,10.72,10.0,11.4018,35053941
2020-09-23,1004290,10.21,10.7,9.94,11.39,10737214
2020-09-24,650946,9.27,9.98,9.19,9.98,8284285
2020-09-25,901845,10.05,9.61,9.2,10.5633,7664939
2020-09-28,499879,10.15,10.51,9.67,10.51,7025966
2020-09-29,295322,10.56,10.0,10.0,10.78,5408703
2020-09-30,28263,10.5,10.58,10.13,11.1823,6114993
2020-10-01,380564,9.8,10.42,9.8,10.71,4629800
2020-10-02,198726,9.83,9.76,9.3,9.89,4383164
2020-10-05,77344,9.89,9.7,9.3767,9.9,2819851
2020-10-06,45728,9.31,10.0,9.1,10.149,4685540
2020-10-07,2112,9.37,9.51,9.37,9.81,3340599
2020-10-08,43355,13.95,9.79,9.52,13.95,78833460
2020-10-09,287410,12.51,13.27,12.1,15.3,78734372
2020-10-13,3210148,11.94,11.78,11.67,12.91,10658390
2020-10-14,1020779,12.82,12.99,12.09,12.99,11083263
2020-10-15,81962,14.08,12.12,12.12,15.3,41284068
2020-10-16,42481,13.73,14.33,13.21,14.5,12057490
2020-10-19,139512,14.49,13.8,13.8,15.0,13626272
2020-10-20,210863,14.49,14.22,14.201,14.49,6741789
2020-10-21,19853,14.3,14.4,14.1,14.91,5551576
2020-10-22,168358,14.91,14.4,14.35,16.63,16455244
2020-10-23,144317,16.0,15.5,14.96,16.0,6605064
2020-10-26,221129,13.52,15.57,13.26,16.15,13578808
2020-10-27,254372,13.3,13.98,12.77,13.98,7447935
2020-10-28,133541,12.17,12.35,12.01,13.2,6573898
2020-10-29,40619,12.32,12.28,11.7491,12.52,4349078
2020-10-30,11780,10.94,11.96,10.56,11.96,11575010
2020-11-02,10141,10.95,11.27,10.8,11.58,5333327
2020-11-03,8353,11.6,11.01,11.01,11.95,7802208
2020-11-04,16776,11.22,12.2,10.7,12.3266,5857538
2020-11-05,8661,11.73,11.79,11.3,12.28,4860574
2020-11-06,245253,11.95,11.54,11.49,12.45,5586408
2020-11-09,110340,11.57,12.82,11.57,13.5,6448718
2020-11-10,60526,11.3,11.6,11.22,11.92,3975185
2020-11-12,55047,11.48,11.81,10.99,12.4,4369213
2020-11-13,15899,11.49,11.79,11.0,11.97,3640707
2020-11-16,94799,12.6,11.63,10.87,13.0322,10169428
2020-11-17,48023,11.79,11.69,11.61,12.32,6775017
2020-11-18,19886,11.81,12.2,11.73,12.2,3305479
2020-11-19,20322,12.79,12.1,11.48,13.38,11897373
2020-11-20,971,12.96,12.72,12.72,13.59,8466110
2020-11-23,46998,14.3,13.4,13.26,14.69,9755331
2020-11-24,535217,14.1,14.83,13.9,14.83,7503403
2020-11-25,143331,14.75,13.7,13.7,15.91,9017844
2020-11-27,163516,16.19,15.32,15.08,17.56,12743414
2020-11-30,21936,17.22,18.2,17.0927,19.49,32015761
2020-12-01,91971,16.1,17.61,16.1,18.0,12711105
2020-12-02,1061397,17.36,16.3,15.76,17.36,8119022
2020-12-03,1787191,16.59,16.84,16.28,17.45,6558455
2020-12-04,999475,17.3,16.9,16.36,18.02,9296899
2020-12-07,1002379,17.08,18.0,16.25,18.0,7650424
2020-12-08,872292,17.68,16.56,16.45,17.87,16793470
2020-12-09,721361,13.77,13.93,13.392,15.28,25359524
2020-12-10,605975,14.76,13.72,13.54,14.89,7694396
2020-12-11,880063,13.83,14.43,13.33,14.43,7863232
2020-12-14,284296,12.79,13.77,12.51,13.7941,10401607
2020-12-15,170655,13.91,13.31,12.61,14.4,8372834
2020-12-16,10784,13.87,14.5,13.87,14.996,5976483
2020-12-17,500162,15.22,14.59,14.0,15.22,8227728
2020-12-18,872523,16.13,15.79,15.56,16.9,16715838
2020-12-21,619404,15.64,16.14,15.36,16.647,9975402
2020-12-22,744478,19.6,16.94,16.83,20.86,32010672
2020-12-23,700507,20.78,20.74,19.2,22.9091,25930633
2020-12-24,839699,20.48,21.18,20.48,22.35,6513757
2020-12-28,351316,21.5,21.81,21.06,22.95,9006677
2020-12-29,283294,19.87,20.94,18.9,21.88,9310790
2020-12-30,648513,19.52,19.55,18.97,21.0,5958917
2020-12-31,228358,19.54,19.57,19.54,20.2,7001061
2021-01-04,182269,17.38,19.0,17.38,19.9,10438310
2021-01-05,490723,18.09,17.62,17.45,18.7446,5074008
2021-01-06,772112,18.49,17.9,17.77,19.44,6066336
2021-01-07,799328,18.12,18.51,18.12,20.08,6339623
2021-01-08,555658,18.09,18.33,17.19,19.1,6737253
2021-01-11,703110,20.52,20.29,19.85,21.19,15195021
2021-01-12,287730,20.76,20.18,19.9694,20.76,7390902
2021-01-13,662524,32.5,20.49,20.34,39.97,150347026
