Date,JPM_QUANTITY_FAILS,close,open,low,high,volume
2020-08-10,863,100.95,101.0,100.0685,103.5,15627951
2020-08-11,6100,106.45,104.96,104.96,107.35,32624311
2020-08-13,1644,103.07,104.0,103.07,108.02,14200092
2020-08-18,3600,100.22,101.68,100.22,101.68,13486454
2020-08-19,16413,100.95,102.8,100.95,105.58,13806323
2020-08-27,40,104.66,103.0,103.0,107.72,22927561
2020-08-31,297,103.43,105.08,101.9,105.08,14846718
2020-09-01,6417,100.79,103.65,100.79,104.0995,12037786
2020-09-09,1386,103.6,102.7,100.89,104.95,14089511
2020-09-10,130837,100.57,104.4,100.57,104.4,15944168
2020-09-16,72,103.0,102.91,102.69,103.37,19459715
2020-09-18,15929,102.48,99.68,99.68,102.48,20493020
2020-09-22,1,95.69,98.98,95.69,98.98,19600839
2020-09-23,65248,93.43,97.0,93.43,97.0,20919876
2020-09-24,87,93.03,94.64,93.03,96.7,18441723
2020-10-01,12,101.12,99.29,99.29,101.12,16174567
2020-10-05,9352,103.71,99.72,99.72,103.71,14470779
2020-10-06,496,102.66,100.95,97.5658,103.96,19766883
2020-10-13,46,105.71,103.0,103.0,106.54,21973852
2020-10-14,6500,103.14,102.47,101.8,104.937,15661840
2020-10-16,438,102.76,102.94,102.76,105.358,13309684
2020-10-20,17168,104.14,103.36,103.17,106.79,11437102
2020-10-26,728,103.09,106.1,100.52,106.1,12553094
2020-10-27,4324,103.99,102.08,102.08,103.99,10783354
2020-10-29,50,99.46,99.32,97.7654,101.11,14903488
2020-10-30,4703,100.84,101.42,99.53,102.05,15783497
2020-11-02,9000,103.89,100.72,98.07,103.89,15607789
2020-11-03,1807,105.82,103.19,103.19,109.88,18140362
2020-11-05,467,108.78,104.66,104.0,108.78,18046731
2020-11-09,1754,118.9,115.33,110.74,120.6,49059958
2020-11-12,167622,114.92,115.51,112.384,115.51,23097245
2020-11-13,4532,117.35,118.9,115.1816,118.9,12199431
2020-11-16,2826,120.9,121.54,116.7471,121.54,20412928
2020-11-20,327,117.95,118.38,117.95,121.17,13002854
2020-11-23,17704,122.17,120.47,117.16,122.46,13491730
2020-11-24,2300,129.24,122.97,122.97,129.24,21024899
2020-11-27,1635,121.81,123.0,121.81,126.89,6019939
2020-11-30,6150,118.37,125.0,118.37,125.8318,14621131
2020-12-01,4200,124.32,123.73,123.73,125.4,13186405
2020-12-02,2744,125.2,122.6,119.3,125.8,11184541
2020-12-04,84275,123.89,125.34,122.4519,128.82,13877741
2020-12-08,6700,127.0,123.91,123.75,127.0,10049641
2020-12-09,1546,121.18,129.13,121.18,129.13,13469048
2020-12-22,627825,124.55,124.84,124.2,126.84,12184394
2020-12-23,47,129.55,126.74,122.51,131.29,15387597
2020-12-24,18772,124.87,127.35,124.22,129.65,4233096
2020-12-29,431,128.94,128.9,127.64,128.94,8620922
2021-01-04,139,128.87,127.6,127.6,130.31,17101909
2021-01-05,46093,126.59,130.74,126.29,130.74,14255156
2021-01-06,435864,131.76,134.27,131.76,138.01,24960603
2021-01-07,109199,138.38,140.2,137.65,141.19,22415440
2021-01-12,8100,145.2,144.76,139.3052,148.0865,18312821
2021-01-14,2500,144.17,140.49,140.49,148.58,18633836
2021-01-20,325319,139.78,142.05,137.123,142.05,16393251
2021-01-25,5009,137.85,133.63,133.63,139.51,14633181
2021-01-27,4,132.42,135.98,131.44,135.98,18407431
2021-01-28,34975,133.93,135.0,131.73,135.0,14239213
2021-01-29,5181,134.54,135.01,132.94,137.63,15206748
2021-02-02,113,139.6,133.83,133.83,139.6,12413316
2021-02-04,1630,140.37,136.49,136.49,140.88,12919406
2021-02-08,10142,143.4,142.5,141.95,147.2,10506219
2021-02-09,8704,141.1,144.53,141.1,144.53,8719634
2021-02-10,2162,143.74,143.0,140.45,143.74,10654866
2021-02-11,20,142.94,141.95,140.72,142.94,9355637
2021-02-12,1233,146.09,140.66,140.66,147.08,8345390
2021-02-16,7329,145.35,148.9,145.35,148.9,12729546
2021-02-17,1700,146.9,144.09,143.2,146.9,11150553
2021-02-18,2513,151.46,146.0,146.0,151.46,10998207
2021-02-22,118,152.34,152.25,152.25,153.02,11887774
2021-02-23,11100,158.04,152.65,150.99,158.04,16654160
2021-02-24,6646,156.04,152.23,152.23,158.24,15336792
2021-02-26,409,148.46,151.2,147.62,151.9686,20006792
2021-03-02,1500,152.02,157.11,152.02,157.11,14870013
2021-03-11,748,155.94,158.94,155.94,162.27,12083238
2021-03-16,161,159.37,154.58,154.58,159.37,13315182
2021-03-22,1731,153.04,157.8,153.04,157.8,20708868
2021-03-23,2066,152.65,152.05,149.26,154.2,17552776
2021-03-24,606,155.94,155.0,151.41,159.62,13327827
2021-03-25,1920,155.68,150.0,150.0,156.4,16315230
2021-03-29,399,153.85,156.595,153.85,156.595,18323990
2021-03-30,6300,157.89,160.33,157.89,160.33,13558813
2021-03-31,1992,156.59,160.76,154.51,160.76,17047187
2021-04-05,360,159.19,156.0,156.0,159.7,14095083
2021-04-06,22026,156.35,156.91,153.19,159.01,13481953
