Date,QSR_QUANTITY_FAILS,close,open,low,high,volume
2020-08-03,205,58.55,57.86,56.63,58.55,1052797
2020-08-05,60,59.58,59.0,59.0,61.25,1720364
2020-08-06,2864,56.3,57.52,56.2,57.72,3249134
2020-08-07,147,54.38,56.8,53.85,57.5,3051681
2020-08-10,312,56.83,54.99,54.99,56.83,2092029
2020-08-12,567,55.26,56.99,54.37,56.99,1225675
2020-08-13,1172,56.37,55.03,54.71,56.37,1750879
2020-08-17,65,56.12,56.6,54.84,56.6,2362222
2020-08-19,69570,56.73,56.19,54.7,57.0,1562976
2020-08-20,4193,57.25,55.84,54.007,57.41,2033498
2020-08-24,438,54.8,54.7,54.7,55.07,2023376
2020-08-25,6171,54.4,56.29,53.91,57.59,2199970
2020-08-26,57278,54.8,56.84,54.8,56.84,1689285
2020-08-27,779,56.46,54.81,54.62,56.46,1085549
2020-08-28,840,56.52,56.29,54.4958,58.33,1536292
2020-08-31,264,54.47,58.6,54.47,58.6,1380989
2020-09-01,149,56.08,56.56,56.08,56.56,1322985
2020-09-02,1480,58.8,57.64,56.08,58.8,2521236
2020-09-04,7906,58.57,58.56,58.08,60.11,2230681
2020-09-08,18651,56.9,57.51,56.9,57.64,1949126
2020-09-09,275644,57.98,57.54,56.0,57.98,2386385
2020-09-10,11366,56.61,56.46,56.46,59.63,2290502
2020-09-11,23998,57.06,56.43,55.91,57.5,2147968
2020-09-15,376,60.34,58.2,57.354,60.34,2428122
2020-09-16,49432,58.64,59.41,58.64,61.0,1835880
2020-09-17,1858,56.03,56.0,56.0,56.8,1310555
2020-09-18,217,56.9,57.05,56.9,58.1,2126449
2020-09-22,307,57.83,55.55,55.05,57.95,1284078
2020-09-28,25370,58.76,57.91,57.91,59.52,1822763
2020-09-30,230426,59.05,60.1,57.65,60.1,2378401
2020-10-01,5979,58.25,58.53,57.93,60.08,3114882
2020-10-02,121068,59.76,57.12,57.12,59.8,1858504
2020-10-05,5982,60.41,59.21,58.7,60.41,1140101
2020-10-09,30,62.5,60.7,60.7,62.5,768060
2020-10-13,426,59.66,61.5,59.66,61.5,932599
2020-10-15,831,60.91,60.29,57.75,60.91,1521042
2020-10-20,21422,57.45,59.48,57.45,59.48,1590820
2020-10-21,222,57.82,57.8,57.0,58.53,1142884
2020-10-22,9850,59.92,57.39,57.39,59.92,1276507
2020-10-23,1524,59.11,57.85,57.85,59.11,1193090
2020-10-26,25,55.99,57.1,54.96,57.7,2414212
2020-10-27,297,55.27,56.0,55.27,56.0,3573906
2020-10-28,480,53.3,52.39,51.47,55.03,3025881
2020-10-30,4312,52.0,55.1,51.95,55.1,2180577
2020-11-02,1157,53.56,53.85,52.5244,53.85,2218403
2020-11-03,3560,55.0,53.16,53.16,55.0,1755415
2020-11-04,42008,54.34,55.64,54.34,55.64,2121460
2020-11-05,16636,54.78,56.88,54.2,57.57,1937218
2020-11-06,1692,54.4,55.16,54.4,55.16,1746846
2020-11-09,1521,59.35,59.04,57.35,61.31,4088820
2020-11-10,16615,58.56,60.65,58.56,61.52,1802618
2020-11-12,1642,58.4,58.68,57.3,58.92,1692092
2020-11-16,1759,61.56,60.39,60.27,62.0,2237965
2020-11-17,1429,59.76,61.4,59.76,61.5,2728638
2020-11-18,1135,62.0,62.2,60.6,62.2,1227560
2020-11-19,5694,60.3,59.52,59.52,60.93,1470187
2020-11-23,189614,59.65,61.95,59.65,61.95,1756027
