Date,SHOP_QUANTITY_FAILS,close,open,low,high,volume
2020-08-03,1951,1083.31,1082.0,1031.37,1122.68,2742080
2020-08-04,4514,1118.0,1120.3,1090.1784,1120.3,1648280
2020-08-05,786,1140.87,1116.01,1103.21,1140.87,1565121
2020-08-06,209,1093.16,1141.3,1093.16,1141.3,1339929
2020-08-10,661,1024.42,1084.0,1023.62,1111.0,2405256
2020-08-11,129,994.26,1015.76,990.51,1063.0,2337616
2020-08-12,10160,1001.0,984.35,984.35,1035.02,1744002
2020-08-13,121,1048.5,1050.0,1026.0,1068.028,1424270
2020-08-14,328,997.7,1009.5,997.7,1056.0,1661245
2020-08-17,2704,1014.26,1029.0,1014.26,1038.6042,1282798
2020-08-18,175,1026.5,1045.0,1002.73,1073.78,1319248
2020-08-19,97,1037.06,1032.49,1032.49,1072.38,1240733
2020-08-20,14007,1055.68,1021.5,1021.5,1084.5,1348664
2020-08-25,6116,1047.16,1027.0,1001.0,1047.16,1770994
2020-08-26,1043,1113.13,1085.0,1085.0,1138.08,2944784
2020-08-27,776,1067.6,1095.21,1063.83,1102.43,1582722
2020-08-28,100,1061.86,1105.63,1060.02,1105.63,1362899
2020-08-31,1513,1068.55,1074.65,1048.0,1089.63,1137917
2020-09-01,657,1155.74,1115.0,1115.0,1201.52,2118896
2020-09-03,667,1049.1,1072.63,1033.09,1094.1,3066963
2020-09-04,1600,1021.23,1036.26,926.31,1040.28,3615259
2020-09-08,352,935.0,963.07,921.96,966.9419,2176657
2020-09-10,458,938.51,984.0,938.51,984.0,1798378
2020-09-14,871,948.19,962.21,930.63,962.21,1694814
2020-09-16,491,896.72,984.0,896.72,984.0,3670817
2020-09-17,495,885.12,876.35,865.5,907.2,3803917
2020-09-18,3288,911.64,890.21,881.0369,923.68,2531537
2020-09-22,530,980.18,963.04,942.5,980.18,2551922
2020-09-24,4341,915.61,947.54,915.61,964.0,1690116
2020-09-28,30,1000.0,974.03,954.0,1029.6648,1921042
2020-09-29,1200,1038.8,1007.32,991.7097,1038.8,3198706
