Date,SPCE_QUANTITY_FAILS,close,open,low,high,volume
2020-08-03,98912,24.98,23.95,22.8,25.2,22457125
2020-08-04,85019,21.2,22.05,21.2,22.87,24390666
2020-08-05,393661,20.75,20.12,20.12,21.21,17845534
2020-08-06,557984,19.46,20.8,19.46,21.0,22345273
2020-08-07,327554,18.5,19.72,18.16,20.0,20297989
2020-08-10,1096051,19.45,19.01,18.75,19.64,12616302
2020-08-11,14048,19.1,19.6,18.98,20.27,10915081
2020-08-17,29624,18.51,19.13,17.95,19.4,15578339
2020-08-18,48141,18.32,18.63,18.17,18.63,10312462
2020-08-19,21393,18.4,18.44,17.8,18.58,7853105
2020-08-21,1978,17.34,17.42,17.17,17.8,9353156
2020-08-25,42400,17.7,18.01,17.7,18.67,6897926
2020-08-26,128140,17.67,18.3,17.67,18.7,14027488
2020-08-27,6547,17.67,18.38,17.67,18.41,9348528
2020-08-28,562,17.51,17.44,17.44,17.78,5155431
2020-09-01,1000,18.26,18.61,17.4,18.61,9394396
2020-09-02,100391,17.7,17.8,16.8,17.97,13556278
2020-09-03,72071,16.82,17.2,16.78,17.37,12916547
2020-09-04,381696,16.37,16.95,15.3305,17.37,15057666
2020-09-09,162898,18.33,18.38,17.38,19.013,20486038
2020-09-10,97605,17.51,18.01,17.51,19.1619,12864452
2020-09-11,36692,17.32,17.59,16.84,18.1,12862181
2020-09-14,6764,18.06,17.6,16.9125,18.06,7857303
2020-09-15,697278,18.5,18.1,18.01,18.5,8966009
2020-09-16,92269,17.82,17.89,17.82,18.51,6980302
2020-09-17,184167,17.33,17.0,17.0,17.86,7466908
2020-09-18,36189,17.41,17.8,17.146,17.8,8408762
2020-09-21,55563,16.82,17.27,15.98,17.3757,11305167
2020-09-22,608958,16.85,17.24,16.83,17.24,7319466
2020-09-23,367580,16.29,17.04,16.28,17.04,10317994
2020-09-24,70670,15.98,15.9,15.29,16.6,12432397
2020-09-25,714038,16.74,16.38,16.06,16.74,5562995
2020-09-28,116744,20.94,18.48,18.48,21.79,55707755
2020-09-29,159382,20.77,20.83,20.42,21.33,33849730
2020-09-30,22554,19.36,20.48,19.36,21.41,20289936
2020-10-01,108030,20.43,19.35,19.35,21.31,14388837
2020-10-02,72452,21.11,19.22,19.22,21.77,19911764
2020-10-05,154525,21.27,21.84,20.68,22.28,13554999
2020-10-06,122988,21.19,21.53,21.19,22.71,24428640
2020-10-07,236469,22.33,22.65,22.33,22.8604,13341154
2020-10-08,20076,22.36,23.21,21.68,23.3,10320207
2020-10-09,147509,21.5,22.22,21.43,22.713,10553608
2020-10-13,54546,21.97,21.3,20.11,22.92,13190189
2020-10-14,12580,21.37,22.86,21.37,22.86,8784290
2020-10-15,358166,21.8,21.1,21.1,22.3,7823608
2020-10-16,9921,23.56,22.0,22.0,23.56,24133447
2020-10-19,10407,23.59,24.0,23.06,24.67,17857705
2020-10-20,116057,23.93,23.69,22.826,24.74,26052454
2020-10-21,181054,20.9,23.9,20.9,23.9,21851251
2020-10-22,97618,20.88,21.45,20.88,21.8,8796110
2020-10-23,1082249,19.88,21.8,19.88,21.8,16417717
2020-10-26,10223,18.39,20.0,18.11,20.0,12857521
2020-10-27,34644,18.37,18.86,18.37,19.32,6122730
2020-10-28,32712,17.86,18.12,17.72,18.97,9037360
2020-10-29,93889,19.05,18.16,18.16,19.214,8997487
2020-10-30,567043,17.52,18.95,17.52,18.95,8200752
2020-11-02,638816,18.21,18.06,17.65,19.0,10114318
2020-11-03,284957,19.3,18.03,18.03,19.6,8548351
2020-11-04,217116,18.88,18.52,18.31,19.25,8039278
2020-11-05,29916,19.91,18.42,18.12,19.91,12455641
2020-11-06,933685,19.17,21.0,19.03,21.0,13418178
2020-11-09,1461470,20.58,21.0,19.69,21.44,14562098
2020-11-10,1544032,21.06,21.25,19.86,21.7,10108749
2020-11-12,927490,21.76,21.86,21.76,22.92,9890679
2020-11-13,545689,22.79,22.64,21.31,22.88,7364630
2020-11-16,642428,21.34,21.25,20.62,22.27,23429313
2020-11-17,766415,22.4,21.73,20.9,22.4,9573179
2020-11-18,191872,23.24,21.8,21.67,24.22,19268206
2020-11-19,354337,24.81,23.57,23.04,25.33,14887891
2020-11-20,170617,23.85,25.29,23.85,25.29,11725805
2020-11-23,243093,26.07,23.67,23.6,26.129,13812012
2020-11-24,589821,25.2,25.83,25.2,26.16,9404317
2020-11-25,61792,27.8,24.76,24.76,28.0,18335109
2020-11-27,204593,27.68,30.21,27.68,30.21,11110222
2020-11-30,10533,26.7,28.64,26.26,29.33,13091241
2020-12-01,148541,28.58,29.0,27.71,30.88,19898481
2020-12-02,172027,27.74,29.0,26.6,29.0,16930305
2020-12-03,11861,28.71,29.06,28.41,29.2671,9260289
2020-12-04,74784,30.01,29.1,28.49,30.5,8936259
2020-12-07,63034,35.3,30.99,30.37,35.3,28926869
2020-12-08,107645,33.91,33.42,32.77,35.25,22046198
2020-12-09,47675,33.63,35.0,31.98,37.07,27002184
2020-12-10,131873,33.29,30.55,29.86,34.1,14660529
2020-12-11,128980,32.27,32.82,31.95,35.5,18617257
2020-12-14,13,27.67,27.43,27.09,29.69,49285459
2020-12-15,102887,25.61,27.24,24.67,28.15,31758303
2020-12-16,23,26.86,25.73,25.67,27.7678,23446302
2020-12-17,76594,26.6,26.22,25.1,26.69,18921604
2020-12-18,309133,24.36,25.0,24.36,25.72,30857722
2020-12-21,7937,24.9,24.65,24.62,25.567,16409340
2020-12-22,1098206,25.81,26.38,25.41,26.38,17391064
2020-12-23,100282,26.93,26.12,25.87,27.71,19162927
2020-12-24,62137,26.45,27.49,26.02,28.22,9215870
2020-12-28,198389,24.13,26.47,24.13,27.49,16597559
2020-12-29,46527,23.81,24.1,23.28,24.66,9431252
2020-12-30,24792,24.11,25.08,24.11,25.58,6394768
2020-12-31,199626,24.64,24.4,23.6769,24.64,5968522
