Date,TSLA_QUANTITY_FAILS,close,open,low,high,volume
2020-08-03,2543,311.0,301.51,299.4302,311.0,45604627
2020-08-05,1968,301.883,313.508,298.51,313.508,25957632
2020-08-06,3150,302.11,300.502,297.185,314.941,30946534
2020-08-07,1724,294.597,304.4745,293.315,310.6,44515955
2020-08-10,1211,291.823,290.1,285.624,293.7,37840646
2020-08-11,6061,279.261,286.9,279.0,286.9,43665206
2020-08-12,129,323.725,295.0,295.0,329.0,109598893
2020-08-13,3615,329.5,338.0,323.611,346.707,104563418
2020-08-17,713,377.426,346.3,334.668,383.926,103732122
2020-08-18,1344,387.742,385.406,375.59,391.9,86463131
2020-08-19,73253,384.113,385.0,379.335,385.0,63961666
2020-08-20,4289,401.546,382.734,382.734,408.303,108036506
2020-08-21,3630,410.128,413.108,410.128,423.152,111290778
2020-08-24,1356,406.95,436.472,399.464,441.1,102506191
2020-08-25,2931,423.89,405.323,397.7,423.89,55365065
2020-08-26,5152,443.041,418.0,415.9761,443.041,74097358
2020-08-27,691,457.14,443.341,442.3,474.3,122663847
2020-08-28,7980,446.5,464.85,443.296,482.001,104862213
2020-08-31,30319,504.65,460.31,458.62,514.58,119038781
2020-09-01,18837,489.66,519.48,489.66,526.53,91338425
2020-09-02,1240984,461.53,491.01,412.1188,491.01,97479987
2020-09-03,639,416.0,416.8,416.0,432.6,91841742
2020-09-04,169,422.45,411.28,389.1918,433.0,113520470
2020-09-08,2691,338.67,373.0,338.67,373.0,119800728
2020-09-09,12515,374.6,359.9,354.4,383.0,81965649
2020-09-10,19968,372.8,398.86,367.99,417.91,88990868
2020-09-11,47368,387.69,382.28,377.8,387.69,62333878
2020-09-14,263338,436.8,390.19,389.4,436.8,86875683
2020-09-15,73578,459.35,443.96,443.96,463.32,98225696
2020-09-16,21503,442.63,454.52,437.87,473.14,76055217
2020-09-18,491,461.13,459.39,433.1,468.0,88829903
2020-09-21,113311,467.37,469.58,423.19,469.58,113918188
2020-09-22,5595,437.68,441.4,420.7935,454.33,80131509
2020-09-24,10197,393.73,363.8,359.4,405.0,100251007
