,CUSIP,SYMBOL,YTD_FTD_SUM,YTD_PCT_OUTSTANDING
0,46583A105,IVDA,1156324,1.4992722981785458
1,46591M109,YY,1551850,2.4538320710451784
2,46641Q209,JPIN,1925555,13.836746575458129
3,46641Q324,JIG,525281,69.4311934851543
4,46641Q399,BBUS,3621018,39.226739828885165
5,46641Q449,JIGB,410375,39.09837689930221
6,46641Q647,JMUB,1141904,61.49087521472458
7,46641Q654,JMST,3415368,7.736160610849377
8,46641Q670,JCPB,1071566,33.086157036403954
9,46641Q746,JPMB,301893,19.666668621001676
10,46641Q753,JVAL,2389148,16.519212957009007
11,46641Q779,JMOM,1505104,30.264661762990784
12,46641Q837,JPST,3972079,1.0443444441133973
13,47010C409,JAGX,20031495,13.993774597305572
14,47103U100,JSML,389430,18.164144762771876
15,47103U209,JSMD,232265,7.5983476746632
16,47103U852,JMBS,743052,4.88153866893501
